Complete Evaluation;;;;;;;;;;;
index;airportICAO;rwyIdent;rwyBearing;rwyTrueBearing;rwySlope;rwyLength;rwyWidth;rwyThresElev;rwyThresLat;rwyThresLon;sumPoint
0;AGGH;6;;38;;;;;;;38
1;AGGH;24;;38;;;;;;;38
2;ANYN;12;;38;;38;38;;;;114
3;ANYN;30;;38;;38;38;;;;114
4;AYBK;4;;38;;;;;;;38
5;AYBK;22;;38;;;;;;;38
6;AYDU;14;;38;;;;;;;38
7;AYDU;32;;38;;;;;;;38
8;AYGN;9;;38;;;;;;;38
9;AYGN;27;;38;;;;;;;38
10;AYKI;7;;14;;38;14;38;14;14;132
11;AYKI;25;;14;;38;14;38;14;14;132
12;AYKV;12;;38;;;;;;;38
13;AYKV;30;;38;;;;;;;38
14;AYMD;7;;38;;;;;;;38
15;AYMD;25;;38;;;;;;;38
16;AYMO;16;;38;;;;;;;38
17;AYMO;34;;38;;;;;;;38
18;AYMR;9;;14;;38;14;38;14;14;132
19;AYMR;27;;14;;38;14;38;14;14;132
20;AYMS;8;;14;;38;14;38;14;14;132
21;AYMS;26;;14;;38;14;;14;14;94
22;AYNZ;9;;38;;;;;;;38
23;AYNZ;27;;38;;;;;;;38
24;AYPY;14L;;38;;;;;;;38
25;AYPY;14R;;38;;;;;;;38
26;AYPY;32L;;38;;;;;;;38
27;AYPY;32R;;38;;;;;;;38
28;AYTK;10;;38;;;;;;;38
29;AYTK;28;;38;;;;38;;;76
32;BGBW;7;;38;;;;;;;38
33;BGBW;25;;38;;;;;;;38
34;BGCO;18;;38;;38;38;38;;;152
35;BGCO;36;;38;;38;38;;;;114
36;BGGH;5;;38;;;;;;;38
37;BGGH;23;;38;;;;;;;38
40;BGMQ;16;;14;;38;38;38;;;128
41;BGMQ;34;;14;;38;38;38;;;128
44;BGSF;9;;;;38;38;38;;;114
45;BGSF;27;;;;38;38;38;;;114
48;BGTL;8;;14;;38;38;14;14;14;132
49;BGTL;26;;14;;38;38;14;14;14;132
50;BGUK;5;;14;;38;38;38;;;128
51;BGUK;23;;14;;38;38;38;;;128
54;BIAR;1;;38;;;;;;;38
55;BIAR;19;;38;;;;;;;38
60;BIHN;18;;38;;;;;;;38
61;BIHN;36;;38;;;;;;;38
64;BIIS;8;;38;;;;;;;38
65;BIIS;26;;38;;;;;;;38
70;BIKR;1;;;;38;38;;;;76
71;BIKR;19;;;;38;38;;;;76
72;BIRK;1;;38;;;;;;;38
73;BIRK;6;;38;;;;;;;38
74;BIRK;13;;38;;;;;;;38
75;BIRK;19;;38;;;;;;;38
76;BIRK;24;;38;;;;;;;38
77;BIRK;31;;38;;;;;;;38
78;BITN;2;;38;;38;38;38;;;152
79;BITN;20;;38;;38;38;38;;;152
84;BIVO;5;;14;;38;14;;14;14;94
85;BIVO;23;;14;;38;14;;14;14;94
86;CAD4;16;;38;;38;38;14;;;128
87;CAD4;34;;38;;38;38;14;;;128
88;CAJ4;13;;38;;38;38;38;;;152
89;CAJ4;31;;38;;38;38;38;;;152
92;CCA6;14;;14;;38;38;14;14;14;132
93;CCA6;32;;14;;38;38;14;14;14;132
96;CCP4;12;;14;;38;38;38;14;14;156
97;CCP4;30;;14;;38;38;38;14;14;156
98;CCZ2;12;;14;;38;38;14;14;14;132
99;CCZ2;30;;14;;38;38;14;14;14;132
102;CJV7;17;;14;;38;38;14;14;14;132
103;CJV7;35;;14;;38;38;14;14;14;132
104;CKB6;12;;14;;38;38;38;14;14;156
105;CKB6;30;;14;;38;38;38;14;14;156
106;CKL3;16;;14;;38;38;38;14;14;156
107;CKL3;34;;14;;38;38;38;14;14;156
108;CKQ3;13;;14;;38;38;14;14;14;132
109;CKQ3;31;;14;;38;38;14;14;14;132
110;CNE3;7;;14;;38;38;38;14;14;156
111;CNE3;25;;14;;38;38;38;14;14;156
112;CNM5;12;;14;;38;38;38;14;14;156
113;CNM5;30;;14;;38;38;38;14;14;156
114;CNT3;9;;14;;38;38;14;14;14;132
115;CNT3;27;;14;;38;38;14;14;14;132
116;CPV7;13;;14;;38;38;38;14;14;156
117;CPV7;31;;14;;38;38;38;14;14;156
118;CSU2;14;;14;;38;38;38;;;128
119;CSU2;32;;14;;38;38;38;;;128
120;CYAC;11;;14;;38;38;38;14;14;156
121;CYAC;29;;14;;38;38;38;14;14;156
122;CYAG;3;;38;;;;;;;38
123;CYAG;12;;38;;;;;;;38
124;CYAG;21;;38;;;;;;;38
125;CYAG;30;;38;;;;;;;38
126;CYAM;4;;38;;;;;;;38
127;CYAM;12;;38;;;;;;;38
128;CYAM;22;;38;;;;;;;38
129;CYAM;30;;38;;;;;;;38
130;CYAQ;3;;14;;38;38;38;14;14;156
131;CYAQ;21;;14;;38;38;38;14;14;156
134;CYAT;6;;14;;38;38;14;14;14;132
135;CYAT;24;;14;;38;38;14;14;14;132
136;CYAY;10;;38;;;;;;;38
137;CYAY;28;;38;;;;;;;38
139;CYAZ;11;;38;;38;38;38;;;152
140;CYAZ;16;;38;;38;38;38;;;152
142;CYAZ;29;;38;;38;38;38;;;152
143;CYAZ;34;;38;;38;38;38;;;152
144;CYBB;5;;38;;38;38;38;;;152
145;CYBB;23;;38;;38;38;38;;;152
146;CYBC;10;;38;;;;;;;38
147;CYBC;28;;38;;;;;;;38
148;CYBF;7;;;;;;14;;;14
149;CYBF;25;;;;;;14;;;14
150;CYBG;11;;38;;;;;;;38
152;CYBG;29;;38;;;;;;;38
158;CYBQ;7;;14;;14;14;38;14;14;108
159;CYBQ;25;;14;;14;14;38;14;14;108
161;CYBR;14;;38;;;;;;;38
163;CYBR;32;;38;;;;;;;38
164;CYBT;3;;14;;38;38;38;14;14;156
165;CYBT;21;;14;;38;38;38;14;14;156
166;CYBV;8;;14;;38;38;38;14;14;156
167;CYBV;26;;14;;38;38;38;14;14;156
174;CYCC;10;;38;;;;;;;38
175;CYCC;28;;38;;;;;;;38
176;CYCD;16;;38;;;;;;;38
177;CYCD;34;;38;;;;;;;38
178;CYCG;15;;38;;;;;;;38
179;CYCG;33;;38;;;;;;;38
180;CYCH;9;;38;;;;;;;38
181;CYCH;27;;38;;;;;;;38
182;CYCL;12;;38;;;;;;;38
183;CYCL;30;;38;;;;;;;38
184;CYCN;13;;38;;;;;;;38
185;CYCN;31;;38;;;;;;;38
188;CYCR;5;;14;;38;38;14;14;14;132
189;CYCR;23;;14;;38;38;14;14;14;132
192;CYCW;7;;38;;;;;;;38
193;CYCW;25;;38;;;;;;;38
196;CYCZ;15;;38;;;;;;;38
197;CYCZ;33;;38;;;;;;;38
200;CYDB;10;;38;;;;;;;38
201;CYDB;28;;38;;;;;;;38
202;CYDF;7;;38;;;;;;;38
203;CYDF;25;;38;;;;;;;38
204;CYDL;2;;38;;;;38;;;76
205;CYDL;20;;38;;;;38;;;76
206;CYDN;2;;38;;;;;;;38
208;CYDN;14;;38;;;;;;;38
209;CYDN;20;;38;;;;;;;38
211;CYDN;32;;38;;;;;;;38
214;CYDQ;6;;38;;;;;;;38
215;CYDQ;24;;38;;;;;;;38
216;CYEG;2;;38;;;;;;;38
217;CYEG;12;;38;;;;;;;38
218;CYEG;20;;38;;;;;;;38
219;CYEG;30;;38;;;;;;;38
222;CYEM;2;;38;;;;;;;38
223;CYEM;20;;38;;;;;;;38
224;CYEN;8;;38;;;;;;;38
225;CYEN;15;;38;;;;14;;;52
226;CYEN;26;;38;;;;;;;38
227;CYEN;33;;38;;;;14;;;52
228;CYER;15;;14;;38;38;14;14;14;132
229;CYER;33;;14;;38;38;14;14;14;132
230;CYET;7;;38;;;;;;;38
231;CYET;25;;38;;;;;;;38
236;CYFA;10;;14;;38;38;14;14;14;132
237;CYFA;28;;14;;38;38;14;14;14;132
240;CYFC;9;;38;;;;;;;38
241;CYFC;15;;38;;;;;;;38
242;CYFC;27;;38;;;;;;;38
243;CYFC;33;;38;;;;;;;38
244;CYFH;9;;14;;38;38;14;14;14;132
245;CYFH;27;;14;;38;38;14;14;14;132
246;CYFJ;3;;38;;;;;;;38
247;CYFJ;21;;38;;;;;;;38
248;CYFO;18;;38;;;;;;;38
249;CYFO;36;;38;;;;;;;38
250;CYFR;12;;38;;;;;;;38
251;CYFR;30;;38;;;;;;;38
254;CYGH;6;;38;;;;38;;;76
255;CYGH;24;;38;;;;38;;;76
256;CYGK;1;;38;;;;;;;38
257;CYGK;7;;38;;;;;;;38
258;CYGK;19;;38;;;;;;;38
259;CYGK;25;;38;;;;;;;38
260;CYGL;13;;38;;;;;;;38
261;CYGL;31;;38;;;;;;;38
262;CYGM;15;;38;;;;;;;38
263;CYGM;33;;38;;;;;;;38
264;CYGO;14;;14;;38;38;38;14;14;156
265;CYGO;32;;14;;38;38;38;14;14;156
268;CYGQ;8;;38;;;;;;;38
269;CYGQ;26;;38;;;;;;;38
270;CYGR;7;;38;;;;;;;38
271;CYGR;16;;38;;;;;;;38
272;CYGR;25;;38;;;;;;;38
273;CYGR;34;;38;;;;;;;38
278;CYGW;4;;14;;38;38;38;14;14;156
279;CYGW;22;;14;;38;38;38;14;14;156
280;CYGX;5;;14;;38;38;38;14;14;156
281;CYGX;23;;14;;38;38;38;14;14;156
286;CYHB;5;;38;;;;38;;;76
287;CYHB;10;;38;;;;14;;;52
288;CYHB;23;;38;;;;38;;;76
289;CYHB;28;;38;;;;14;;;52
290;CYHD;12;;38;;38;38;38;;;152
291;CYHD;30;;38;;38;38;38;;;152
292;CYHF;4;;38;;;;;;;38
293;CYHF;22;;38;;;;;;;38
294;CYHH;9;;14;;38;38;38;14;14;156
295;CYHH;27;;14;;38;38;38;14;14;156
300;CYHM;6;;38;;;;;;;38
301;CYHM;12;;38;;;;;;;38
302;CYHM;24;;38;;;;;;;38
303;CYHM;30;;38;;;;;;;38
304;CYHN;7;;38;;;;;;;38
305;CYHN;25;;38;;;;;;;38
306;CYHO;7;;14;;38;38;14;14;14;132
307;CYHO;25;;14;;38;38;14;14;14;132
308;CYHR;8;;38;;;;;;;38
309;CYHR;26;;38;;;;;;;38
310;CYHU;06L;;38;;;;;;;38
311;CYHU;06R;;38;;;;;;;38
312;CYHU;10;;38;;;;;;;38
313;CYHU;24L;;38;;;;;;;38
314;CYHU;24R;;38;;;;;;;38
315;CYHU;28;;38;;;;;;;38
318;CYHZ;5;;38;;;;;;;38
319;CYHZ;14;;38;;;;;;;38
320;CYHZ;23;;38;;;;;;;38
321;CYHZ;32;;38;;;;;;;38
322;CYIB;4;;38;;;;;;;38
323;CYIB;22;;38;;;;;;;38
324;CYIF;2;;38;;;;;;;38
325;CYIF;20;;38;;;;;;;38
330;CYIV;12;;38;;38;38;38;;;152
331;CYIV;30;;38;;38;38;38;;;152
332;CYJN;2;;38;;;;;;;38
333;CYJN;6;;38;;;;;;;38
336;CYJN;24;;38;;;;;;;38
338;CYJT;2;;38;;;;;;;38
339;CYJT;9;;38;;;;;;;38
340;CYJT;20;;38;;;;;;;38
341;CYJT;27;;38;;;;;;;38
342;CYKA;4;;38;;;;;;;38
344;CYKA;22;;38;;;;;;;38
346;CYKD;13;;38;;;;;;;38
347;CYKD;31;;38;;;;;;;38
348;CYKF;8;;38;;38;38;38;;;152
349;CYKF;14;;38;;;;;;;38
350;CYKF;26;;38;;38;38;38;;;152
351;CYKF;32;;38;;;;;;;38
352;CYKG;15;;14;;38;38;38;14;14;156
353;CYKG;33;;14;;38;38;38;14;14;156
356;CYKO;8;;38;;;;;;;38
357;CYKO;26;;38;;;;;;;38
358;CYKQ;6;;14;;38;38;38;14;14;156
359;CYKQ;24;;14;;38;38;38;14;14;156
363;CYKY;17;;38;;;;14;;;52
365;CYKY;35;;38;;;;14;;;52
366;CYKZ;3;;38;;;;;;;38
367;CYKZ;15;;38;;;;;;;38
368;CYKZ;21;;38;;;;;;;38
369;CYKZ;33;;38;;;;;;;38
370;CYLA;4;;14;;14;14;38;14;14;108
371;CYLA;22;;14;;14;14;38;14;14;108
375;CYLD;10;;38;;;;;;;38
377;CYLD;28;;38;;;;;;;38
378;CYLH;8;;14;;38;38;38;14;14;156
379;CYLH;26;;14;;38;38;38;14;14;156
380;CYLJ;9;;38;;;;;;;38
381;CYLJ;17;;38;;;;36;;;74
382;CYLJ;27;;38;;;;;;;38
383;CYLJ;35;;38;;;;36;;;74
390;CYLU;16;;14;;38;38;38;14;14;156
391;CYLU;34;;14;;38;38;38;14;14;156
392;CYLW;16;;38;;;;;;;38
393;CYLW;34;;38;;;;;;;38
396;CYMG;5;;38;;;;;;;38
397;CYMG;23;;38;;;;;;;38
398;CYMH;11;;14;;38;38;38;14;14;156
399;CYMH;29;;14;;38;38;38;14;14;156
400;CYMJ;3;;38;;;;;;;38
401;CYMJ;11L;;38;;;;;;;38
403;CYMJ;21;;38;;;;;;;38
405;CYMJ;29R;;38;;;;;;;38
408;CYMO;6;;38;;;;;;;38
409;CYMO;14;;38;;;;;;;38
410;CYMO;24;;38;;;;;;;38
411;CYMO;32;;38;;;;;;;38
412;CYMT;5;;38;;;;;;;38
413;CYMT;23;;38;;;;;;;38
414;CYMU;3;;14;;38;38;38;14;14;156
415;CYMU;21;;14;;38;38;38;14;14;156
416;CYMW;3;;38;;;;;;;38
417;CYMW;21;;38;;;;;;;38
418;CYMX;6;;38;;;;;;;38
419;CYMX;11;;38;;;;;;;38
420;CYMX;24;;38;;;;;;;38
421;CYMX;29;;38;;;;;;;38
422;CYNA;14;;38;;;;;;;38
423;CYNA;32;;38;;;;;;;38
424;CYNC;10;;14;;38;38;38;14;14;156
425;CYNC;28;;14;;38;38;38;14;14;156
426;CYND;9;;38;;;;;;;38
427;CYND;27;;38;;;;;;;38
428;CYNE;5;;14;;38;38;38;14;14;156
429;CYNE;23;;14;;38;38;38;14;14;156
430;CYNJ;1;;14;;38;38;38;14;14;156
431;CYNJ;7;;14;;38;38;14;14;14;132
432;CYNJ;19;;14;;38;38;38;14;14;156
433;CYNJ;25;;14;;38;38;14;14;14;132
434;CYNL;15;;14;;38;38;38;14;14;156
435;CYNL;33;;14;;38;38;38;14;14;156
436;CYNM;15;;38;;;;;;;38
437;CYNM;33;;38;;;;;;;38
442;CYOD;4;;38;;;;;;;38
443;CYOD;13L;;38;;;;;;;38
444;CYOD;13R;;38;;;;;;;38
445;CYOD;22;;38;;;;;;;38
446;CYOD;31L;;38;;;;;;;38
447;CYOD;31R;;38;;;;;;;38
448;CYOH;5;;14;;14;14;38;14;14;108
449;CYOH;23;;14;;14;14;38;14;14;108
450;CYOJ;13;;38;;;;;;;38
451;CYOJ;31;;38;;;;;;;38
453;CYOO;12;;38;;;;;;;38
455;CYOO;30;;38;;;;;;;38
456;CYOP;9;;38;;;;;;;38
457;CYOP;27;;38;;;;;;;38
458;CYOW;4;;38;;;;;;;38
459;CYOW;7;;38;;;;;;;38
461;CYOW;22;;38;;;;;;;38
462;CYOW;25;;38;;;;;;;38
464;CYPA;8;;38;;;;;;;38
466;CYPA;26;;38;;;;;;;38
470;CYPE;4;;38;;;;;;;38
471;CYPE;22;;38;;;;;;;38
474;CYPG;13L;;38;;;;;;;38
475;CYPG;13R;;38;;;;;;;38
478;CYPG;31L;;38;;;;;;;38
479;CYPG;31R;;38;;;;;;;38
480;CYPH;7;;14;;38;38;38;14;14;156
481;CYPH;25;;14;;38;38;38;14;14;156
484;CYPN;11;;38;;;;;;;38
485;CYPN;29;;38;;;;;;;38
490;CYPR;13;;38;;;;;;;38
491;CYPR;31;;38;;;;;;;38
492;CYPW;9;;38;;;;;;;38
493;CYPW;27;;38;;;;;;;38
494;CYPX;1;;38;;;;;;;38
495;CYPX;19;;38;;;;;;;38
498;CYQA;18;;38;;;;;;;38
499;CYQA;36;;38;;;;;;;38
500;CYQB;6;;38;;;;;;;38
502;CYQB;24;;38;;;;;;;38
504;CYQD;13;;38;;;;;;;38
505;CYQD;31;;38;;;;;;;38
510;CYQG;7;;38;;;;;;;38
512;CYQG;25;;38;;;;;;;38
514;CYQH;8;;38;;;;;;;38
515;CYQH;26;;38;;;;;;;38
516;CYQI;6;;38;;;;;;;38
517;CYQI;15;;38;;;;;;;38
518;CYQI;24;;38;;;;;;;38
519;CYQI;33;;38;;;;;;;38
520;CYQK;8;;38;;;;;;;38
521;CYQK;26;;38;;;;;;;38
526;CYQM;6;;38;;;;;;;38
527;CYQM;11;;38;;;;;;;38
528;CYQM;24;;38;;;;;;;38
529;CYQM;29;;38;;;;;;;38
530;CYQN;9;;38;;;;;;;38
531;CYQN;27;;38;;;;;;;38
532;CYQQ;12;;38;;;;;;;38
533;CYQQ;18;;38;;;;;;;38
534;CYQQ;30;;38;;;;;;;38
535;CYQQ;36;;38;;;;;;;38
536;CYQR;8;;38;;;;;;;38
537;CYQR;13;;38;;;;;;;38
538;CYQR;26;;38;;;;;;;38
539;CYQR;31;;38;;;;;;;38
540;CYQT;7;;38;;;;;;;38
541;CYQT;12;;38;;;;;;;38
542;CYQT;25;;38;;;;;;;38
543;CYQT;30;;38;;;;;;;38
544;CYQU;7;;38;;;;;;;38
545;CYQU;12;;38;;;;;;;38
546;CYQU;25;;38;;;;;;;38
547;CYQU;30;;38;;;;;;;38
550;CYQW;6;;38;;;;;;;38
551;CYQW;12;;38;;;;;;;38
552;CYQW;24;;38;;;;;;;38
553;CYQW;30;;38;;;;;;;38
554;CYQX;3;;38;;;;;;;38
555;CYQX;13;;38;;;;;;;38
556;CYQX;21;;38;;;;;;;38
557;CYQX;31;;38;;;;;;;38
562;CYQZ;13;;38;;;;;;;38
563;CYQZ;31;;38;;;;;;;38
566;CYRI;5;;38;;;;;;;38
567;CYRI;23;;38;;;;;;;38
568;CYRJ;16;;38;;;;;;;38
569;CYRJ;34;;38;;;;;;;38
570;CYRL;8;;38;;;;;;;38
571;CYRL;26;;38;;;;;;;38
572;CYRM;13;;38;;;;;;;38
573;CYRM;31;;38;;;;;;;38
574;CYRQ;5;;38;;;;;;;38
575;CYRQ;23;;38;;;;;;;38
576;CYRS;8;;14;;38;38;38;14;14;156
577;CYRS;26;;14;;38;38;38;14;14;156
580;CYRV;12;;38;;;;;;;38
581;CYRV;30;;38;;;;;;;38
582;CYSB;4;;38;;;;;;;38
583;CYSB;12;;38;;;;;;;38
584;CYSB;22;;38;;;;;;;38
585;CYSB;30;;38;;;;;;;38
588;CYSF;6;;14;;38;38;38;14;14;156
589;CYSF;24;;14;;38;38;38;14;14;156
590;CYSJ;5;;38;;;;;;;38
591;CYSJ;14;;38;;;;;;;38
592;CYSJ;23;;38;;;;;;;38
593;CYSJ;32;;38;;;;;;;38
594;CYSK;9;;14;;38;14;38;14;14;132
595;CYSK;27;;14;;38;14;38;14;14;132
600;CYSN;1;;38;;;;;;;38
601;CYSN;6;;38;;;;;;;38
602;CYSN;11;;38;;;;;;;38
603;CYSN;19;;38;;;;;;;38
604;CYSN;24;;38;;;;;;;38
605;CYSN;29;;38;;;;;;;38
606;CYSP;16;;38;;;;;;;38
607;CYSP;34;;38;;;;;;;38
610;CYST;4;;14;;38;38;38;14;14;156
611;CYST;22;;14;;38;38;38;14;14;156
612;CYSU;6;;38;;;;;;;38
613;CYSU;24;;38;;;;;;;38
616;CYTA;17;;38;;;;;;;38
617;CYTA;35;;38;;;;;;;38
620;CYTF;13;;38;;;;;;;38
621;CYTF;31;;38;;;;;;;38
630;CYTS;3;;38;;;;;;;38
632;CYTS;21;;38;;;;;;;38
634;CYTZ;6;;38;;;;;;;38
635;CYTZ;8;;38;;;;;;;38
637;CYTZ;24;;38;;;;;;;38
638;CYTZ;26;;38;;;;;;;38
640;CYUB;9;;38;;;;;;;38
641;CYUB;27;;38;;;;;;;38
642;CYUL;06L;;38;;;;;;;38
643;CYUL;06R;;38;;;;;;;38
644;CYUL;10;;38;;;;;;;38
645;CYUL;24L;;38;;;;;;;38
646;CYUL;24R;;38;;;;;;;38
647;CYUL;28;;38;;;;;;;38
652;CYUY;8;;38;;;;;;;38
653;CYUY;26;;38;;;;;;;38
656;CYVC;10;;38;;;;;;;38
657;CYVC;18;;38;;;;;;;38
658;CYVC;28;;38;;;;;;;38
659;CYVC;36;;38;;;;;;;38
660;CYVG;10;;38;;;;;;;38
661;CYVG;28;;38;;;;;;;38
664;CYVO;18;;38;;;;;;;38
665;CYVO;36;;38;;;;;;;38
666;CYVP;7;;38;;;;;;;38
667;CYVP;13;;38;;;;;;;38
668;CYVP;25;;38;;;;;;;38
669;CYVP;31;;38;;;;;;;38
670;CYVQ;9;;38;;;;38;;;76
671;CYVQ;27;;38;;;;38;;;76
673;CYVR;08R;;38;;;;;;;38
675;CYVR;26L;;38;;;;;;;38
678;CYVT;6;;38;;;;14;;;52
680;CYVT;24;;38;;;;14;;;52
682;CYVV;5;;38;;;;;;;38
683;CYVV;23;;38;;;;;;;38
684;CYVZ;13;;14;;38;38;38;14;14;156
685;CYVZ;31;;14;;38;38;38;14;14;156
686;CYWG;13;;38;;;;;;;38
687;CYWG;18;;38;;;;;;;38
688;CYWG;31;;38;;;;;;;38
689;CYWG;36;;38;;;;;;;38
690;CYWJ;7;;14;;38;14;38;14;14;132
691;CYWJ;25;;14;;38;14;38;14;14;132
692;CYWK;18;;38;;;;;;;38
693;CYWK;36;;38;;;;;;;38
694;CYWL;11;;38;;;;;;;38
695;CYWL;29;;38;;;;;;;38
696;CYWP;2;;14;;38;38;14;14;14;132
697;CYWP;20;;14;;38;38;14;14;14;132
698;CYWY;11;;38;;38;38;38;;;152
699;CYWY;29;;38;;38;38;38;;;152
700;CYXC;16;;38;;;;;;;38
701;CYXC;34;;38;;;;;;;38
702;CYXD;12;;38;;;;;;;38
704;CYXD;30;;38;;;;;;;38
705;CYXD;34;;38;;;;;;;38
707;CYXE;15;;38;;;;;;;38
709;CYXE;33;;38;;;;;;;38
710;CYXH;3;;38;;;;;;;38
711;CYXH;9;;38;;;;;;;38
712;CYXH;21;;38;;;;;;;38
713;CYXH;27;;38;;;;;;;38
714;CYXJ;2;;38;;;;;;;38
715;CYXJ;11;;38;;;;;;;38
716;CYXJ;20;;38;;;;;;;38
717;CYXJ;29;;38;;;;;;;38
718;CYXK;7;;38;;;;;;;38
719;CYXK;25;;38;;;;;;;38
720;CYXL;16;;38;;;;;;;38
721;CYXL;34;;38;;;;;;;38
726;CYXR;8;;38;;;;;;;38
727;CYXR;26;;38;;;;;;;38
728;CYXS;1;;38;;;;;;;38
729;CYXS;6;;38;;;;;;;38
730;CYXS;15;;38;;;;;;;38
731;CYXS;19;;38;;;;;;;38
732;CYXS;24;;38;;;;;;;38
733;CYXS;33;;38;;;;;;;38
734;CYXT;3;;38;;;;;;;38
736;CYXT;21;;38;;;;;;;38
738;CYXU;9;;38;;;;;;;38
739;CYXU;15;;38;;;;;;;38
740;CYXU;27;;38;;;;;;;38
741;CYXU;33;;38;;;;;;;38
742;CYXX;1;;38;;;;;;;38
743;CYXX;7;;38;;;;;;;38
744;CYXX;19;;38;;;;;;;38
745;CYXX;25;;38;;;;;;;38
746;CYXY;1;;38;;;;;;;38
749;CYXY;19;;38;;;;;;;38
752;CYXZ;3;;38;;;;;;;38
753;CYXZ;21;;38;;;;;;;38
754;CYYB;8;;38;;;;;;;38
755;CYYB;18;;38;;;;;;;38
756;CYYB;26;;38;;;;;;;38
757;CYYB;36;;38;;;;;;;38
764;CYYD;15;;38;;;;;;;38
765;CYYD;33;;38;;;;;;;38
767;CYYE;8;;14;;36;36;;;;86
769;CYYE;26;;14;;36;36;;;;86
770;CYYF;16;;38;;;;;;;38
771;CYYF;34;;38;;;;;;;38
772;CYYG;3;;38;;;;;;;38
773;CYYG;10;;38;;;;;;;38
774;CYYG;21;;38;;;;;;;38
775;CYYG;28;;38;;;;;;;38
779;CYYJ;9;;38;;;;;;;38
782;CYYJ;27;;38;;;;;;;38
784;CYYL;8;;38;;;;;;;38
786;CYYL;26;;38;;;;;;;38
787;CYYL;35;;38;;;;;;;38
788;CYYN;4;;38;;;;;;;38
789;CYYN;12;;38;;;;;;;38
790;CYYN;22;;38;;;;;;;38
791;CYYN;30;;38;;;;;;;38
792;CYYQ;7;;38;;;;;;;38
793;CYYQ;15;;38;;;;;;;38
794;CYYQ;25;;38;;;;;;;38
795;CYYQ;33;;38;;;;;;;38
796;CYYR;8;;38;;;;;;;38
798;CYYR;26;;38;;;;;;;38
800;CYYT;2;;38;;;;;;;38
801;CYYT;11;;38;;;;;;;38
802;CYYT;16;;38;;;;;;;38
803;CYYT;20;;38;;;;;;;38
804;CYYT;29;;38;;;;;;;38
805;CYYT;34;;38;;;;;;;38
806;CYYU;10;;38;;;;;;;38
807;CYYU;17;;38;;;;;;;38
808;CYYU;28;;38;;;;;;;38
809;CYYU;35;;38;;;;;;;38
810;CYYY;6;;38;;;;;;;38
811;CYYY;15;;38;;;;;;;38
812;CYYY;24;;38;;;;;;;38
813;CYYY;33;;38;;;;;;;38
814;CYYZ;5;;38;;;;;;;38
815;CYYZ;06L;;38;;;;;;;38
816;CYYZ;06R;;38;;;;;;;38
817;CYYZ;15L;;38;;;;;;;38
818;CYYZ;15R;;38;;;;;;;38
819;CYYZ;23;;38;;;;;;;38
820;CYYZ;24L;;38;;;;;;;38
821;CYYZ;24R;;38;;;;;;;38
822;CYYZ;33L;;38;;;;;;;38
823;CYYZ;33R;;38;;;;;;;38
824;CYZD;15;;38;;;;;;;38
825;CYZD;33;;38;;;;;;;38
826;CYZE;11;;38;;;;;;;38
827;CYZE;29;;38;;;;;;;38
834;CYZH;10;;38;;;;;;;38
835;CYZH;28;;38;;;;;;;38
838;CYZR;5;;38;;;;;;;38
839;CYZR;14;;38;;;;;;;38
840;CYZR;23;;38;;;;;;;38
841;CYZR;32;;38;;;;;;;38
843;CYZT;11;;38;;;;;;;38
844;CYZT;16;;38;;;;;;;38
846;CYZT;29;;38;;;;;;;38
847;CYZT;34;;38;;;;;;;38
848;CYZU;11;;38;;;;;;;38
849;CYZU;29;;38;;;;;;;38
850;CYZV;9;;38;;;;;;;38
851;CYZV;13;;38;;;;;;;38
852;CYZV;27;;38;;;;;;;38
853;CYZV;31;;38;;;;;;;38
856;CYZX;8;;38;;;;;;;38
857;CYZX;12;;38;;;;;;;38
858;CYZX;26;;38;;;;;;;38
859;CYZX;30;;38;;;;;;;38
868;CZEM;2;;14;;38;38;;14;14;118
869;CZEM;20;;14;;38;38;38;14;14;156
870;CZFA;9;;38;;;;;;;38
871;CZFA;27;;38;;;;;;;38
872;CZFD;10;;14;;38;38;14;14;14;132
873;CZFD;28;;14;;38;38;14;14;14;132
874;CZFM;11;;38;;;;;;;38
875;CZFM;29;;38;;;;;;;38
876;CZGI;9;;14;;38;38;38;14;14;156
877;CZGI;27;;14;;38;38;38;14;14;156
878;CZGR;18;;14;;38;38;14;14;14;132
879;CZGR;36;;14;;38;38;14;14;14;132
880;CZJN;2;;38;;;;14;;;52
881;CZJN;20;;38;;;;14;;;52
882;CZKE;7;;14;;38;38;14;14;14;132
883;CZKE;25;;14;;38;38;14;14;14;132
884;CZMD;5;;14;;38;38;38;14;14;156
885;CZMD;23;;14;;38;38;38;14;14;156
886;CZML;15;;38;;38;38;38;;;152
887;CZML;33;;38;;38;38;38;;;152
888;CZMT;13;;38;;;;;;;38
889;CZMT;31;;38;;;;;;;38
890;CZPB;10;;14;;38;38;14;14;14;132
891;CZPB;28;;14;;38;38;14;14;14;132
892;CZRJ;3;;14;;38;38;38;14;14;156
893;CZRJ;21;;14;;38;38;38;14;14;156
894;CZSJ;11;;14;;38;38;38;14;14;156
895;CZSJ;29;;14;;38;38;38;14;14;156
896;CZSN;18;;14;;38;38;38;14;14;156
897;CZSN;36;;14;;38;38;38;14;14;156
898;CZTM;1;;14;;38;38;14;14;14;132
899;CZTM;19;;14;;38;38;14;14;14;132
900;CZUM;13;;38;;;;;;;38
901;CZUM;31;;38;;;;;;;38
